ID,Nombre,Precio
1,Monitor LED 24",250.00
2,Teclado Gamer Wireless,120.00
3,Procesador AMD Ryzen 5,350.00
4,Memoria RAM 16GB DDR4,60.00
5,Disco Duro Externo 1TB,80.00
6,Laptop Dell Inspiron 15,800.00
7,Tarjeta Gráfica NVIDIA GeForce,200.00
8,Fuente de Poder 650W,100.00
9,Cámara Web Logitech C270,30.00
10,Tablet Apple iPad Air,500.00
11,Mouse Inalámbrico Logitech,25.00
12,Procesador Intel Core i7,450.00
13,Monitor Curvo 32",400.00
14,Teclado Mecánico Razer,150.00
15,Memoria RAM 32GB DDR4,120.00
16,Disco Duro Interno 2TB,150.00
17,Laptop HP Envy x360,900.00
18,Tarjeta Gráfica AMD Radeon,250.00
19,Fuente de Poder 850W,150.00
20,Cámara Web Razer Kiyo,50.00
21,Tablet Samsung Galaxy Tab,300.00
22,Monitor LED 27",300.00
23,Teclado Gamer Razer BlackWidow,180.00
24,Procesador AMD Ryzen 7,500.00
25,Memoria RAM 64GB DDR4,250.00
26,Disco Duro Externo 2TB,120.00
27,Laptop Lenovo ThinkPad,1000.00
28,Tarjeta Gráfica NVIDIA Quadro,400.00
29,Fuente de Poder 1000W,200.00
30,Cámara Web Logitech C920,40.00
31,Tablet Apple iPad Pro,700.00
32,Monitor Curvo 34",500.00
33,Teclado Inalámbrico Microsoft,30.00
34,Procesador Intel Core i9,600.00
35,Memoria RAM 128GB DDR4,500.00
36,Disco Duro Interno 4TB,300.00
37,Laptop Dell XPS 13,1200.00
38,Tarjeta Gráfica AMD Radeon Pro,350.00
39,Fuente de Poder 1200W,250.00
40,Cámara Web Razer Seiren,60.00
41,Tablet Samsung Galaxy Tab S,400.00
42,Monitor LED 32",350.00
43,Teclado Gamer Corsair,200.00
44,Procesador AMD Ryzen 9,700.00
45,Memoria RAM 256GB DDR4,1000.00
46,Disco Duro Externo 4TB,250.00
47,Laptop HP ZBook 15,1500.00
48,Tarjeta Gráfica NVIDIA Tesla,600.00
49,Fuente de Poder 1500W,300.00
